step,reward,turn_limit_count,other_exceed_count,empty_prediction_count,exceed_ratio_metric,response_clip_ratio,response_length_mean,response_length_max,num_turns_mean,num_turns_max,step_time_s,gen_time_s,old_log_prob_time_s,update_actor_time_s,throughput,actor_mfu,actor_infer_mfu,reason_counts
48,0.431640625,7,0,8,0.013671875,0.00390625,1472.166015625,16384.0,6.41015625,24,426.6159710921347,292.192723932676,51.69847311638296,76.36144264880568,521.3766949010053,0.5609014381201598,0.29619182128785226,assistant_turn_limit_with_tool_call:7
49,0.447265625,1,0,1,0.001953125,0.0,1125.009765625,11198.0,5.90234375,24,372.650315977633,249.46154402941465,48.05085142888129,68.54415769409388,495.6405967762174,0.5289398032709436,0.2330933565207971,assistant_turn_limit_with_tool_call:1
50,0.443359375,6,0,6,0.01171875,0.037109375,2750.916015625,16384.0,5.83984375,24,463.36532578244805,307.16915654577315,56.1437447341159,90.77789612393826,649.3744962290784,0.5265317672358867,0.31417329781292674,assistant_turn_limit_with_tool_call:6
51,0.439453125,6,0,6,0.01171875,0.01953125,2114.423828125,16384.0,6.31640625,24,441.59062029235065,288.88162446115166,57.484416238963604,84.90148216299713,597.2480231246627,0.5383797174947107,0.3069634405974745,assistant_turn_limit_with_tool_call:6
52,0.4609375,2,0,1,0.00390625,0.015625,1657.76171875,16384.0,6.2890625,24,443.1011438407004,299.04762302711606,56.18436716590077,81.09335677418858,536.9016832994866,0.5530403692998433,0.3017565180340694,assistant_turn_limit_with_tool_call:2
53,0.4375,10,0,10,0.01953125,0.0,1279.236328125,14448.0,6.421875,24,402.17308083176613,269.8323389450088,52.16821855865419,73.713823357597,517.2800839124885,0.5585873110498047,0.290725564501696,assistant_turn_limit_with_tool_call:10
54,0.451171875,5,1,6,0.01171875,0.00390625,1571.70703125,16384.0,6.28125,24,416.4896115567535,280.2607891988009,50.97904918156564,78.56853898055851,530.2947393440662,0.5454207233797882,0.2891666852057428,assistant_turn_limit_with_tool_call:5;official_tool_response_would_exceed_response_length:1
55,0.453125,1,0,1,0.001953125,0.029296875,1825.958984375,16384.0,5.92578125,24,421.786659267731,294.9685018658638,46.165858862921596,73.90300026163459,541.6230456331022,0.5347363900177888,0.30172504612099865,assistant_turn_limit_with_tool_call:1
56,0.513671875,7,0,8,0.013671875,0.013671875,1964.79296875,16384.0,6.01953125,24,432.8029073625803,290.03115802351385,53.140398336574435,82.76133618783206,578.0593100092257,0.548832093587089,0.3044093504822664,assistant_turn_limit_with_tool_call:7
57,0.45703125,12,0,12,0.0234375,0.021484375,1921.900390625,16384.0,7.02734375,24,445.6512469127774,301.74834252521396,54.1615370567888,82.91075961850584,547.5035169098375,0.4895222267969857,0.3019065762926581,assistant_turn_limit_with_tool_call:12
58,0.4609375,1,0,1,0.001953125,0.005859375,1667.4921875,16384.0,6.203125,24,418.8443016568199,277.5519111920148,53.073428297415376,81.68991381768137,552.5143808441065,0.513939450736625,0.3003403451744806,assistant_turn_limit_with_tool_call:1
59,0.435546875,9,1,9,0.01953125,0.005859375,1546.134765625,16384.0,6.72265625,24,420.33760735206306,289.06776370760053,49.965697585605085,74.67674311529845,519.9026239328653,0.5470973238141946,0.2969662085198535,assistant_turn_limit_with_tool_call:9;response_length_with_tool_call:1
60,0.4609375,6,0,6,0.01171875,0.009765625,1917.677734375,16384.0,6.40625,24,422.7523875935003,280.46982734743506,51.586021553725004,81.15644970349967,564.9888256330033,0.4909299214341498,0.3039632853256367,assistant_turn_limit_with_tool_call:6
61,0.41796875,8,0,7,0.015625,0.0390625,2586.501953125,16384.0,6.7578125,24,460.43544483557343,303.4001911384985,57.84008831623942,92.47777291201055,637.8117243012714,0.5463859789235156,0.3052692954778193,assistant_turn_limit_with_tool_call:8
62,0.4375,9,0,9,0.017578125,0.0,1353.779296875,11284.0,6.7578125,24,394.6771203568205,254.24281771015376,55.1110865464434,78.55249344371259,542.5089622788919,0.5254950694392659,0.29643358247432433,assistant_turn_limit_with_tool_call:9
63,0.451171875,6,0,5,0.01171875,0.0,1290.044921875,11100.0,6.9296875,24,388.1657436750829,265.1051815729588,49.93782737851143,66.06032198760659,492.7556800584256,0.5565895851971914,0.28993773469767975,assistant_turn_limit_with_tool_call:6
64,0.455078125,8,0,8,0.015625,0.0234375,2336.939453125,16384.0,6.578125,24,451.27730169985443,292.27935949806124,59.89508355036378,92.44463953468949,622.3692703844462,0.5258538704214475,0.29900158029737106,assistant_turn_limit_with_tool_call:8
65,0.4296875,8,1,9,0.017578125,0.001953125,1596.2890625,16384.0,6.54296875,24,402.9481798755005,262.14073175471276,54.023290602490306,80.16544877830893,568.2753054518078,0.5369810730950443,0.2948037423079191,assistant_turn_limit_with_tool_call:8;official_tool_response_would_exceed_response_length:1
66,0.470703125,11,0,11,0.021484375,0.033203125,2170.75,16384.0,6.4296875,24,447.14564417209476,295.451420259662,56.91344590857625,88.08038428612053,594.086073435529,0.49997330809330537,0.2610619130891301,assistant_turn_limit_with_tool_call:11
67,0.482421875,1,0,1,0.001953125,0.00390625,1641.37109375,16384.0,6.03125,24,381.7139796214178,245.86249970737845,51.92871422320604,77.22423536889255,595.1072324500585,0.5536454741695749,0.294924736370632,assistant_turn_limit_with_tool_call:1
68,0.484375,2,1,3,0.005859375,0.037109375,2407.12890625,16384.0,6.3828125,24,444.59559119399637,292.98924983572215,55.359494453296065,89.29343399219215,620.6162532088689,0.5277464486232776,0.30837555367091496,response_length_with_tool_call:1;assistant_turn_limit_with_tool_call:2
69,0.4609375,4,0,4,0.0078125,0.05078125,2213.93359375,16384.0,6.00390625,24,445.37017101608217,299.43659842945635,53.392077959142625,86.03366063535213,584.2662282620713,0.5357215480037553,0.29997979137769265,assistant_turn_limit_with_tool_call:4
70,0.439453125,0,1,2,0.001953125,0.017578125,1947.9140625,16384.0,6.6171875,18,458.2418227568269,292.9247069163248,64.49153455439955,91.76173604186624,570.3855192167879,0.5471460375741247,0.24969749663304677,official_tool_response_would_exceed_response_length:1
71,0.4140625,10,0,10,0.01953125,0.01953125,1810.404296875,16384.0,6.6328125,24,411.95484489854425,278.1479741539806,50.77114054374397,76.4092957098037,558.17495011287,0.5351747121876703,0.298243466054174,assistant_turn_limit_with_tool_call:10
72,0.458984375,10,1,11,0.021484375,0.02734375,1964.25,16384.0,6.80078125,24,1999.4131948137656,1859.2936214506626,52.229413241147995,81.3948036916554,121.67069849844583,0.5138113591708036,0.29791844847648247,assistant_turn_limit_with_tool_call:10;official_tool_response_would_exceed_response_length:1
73,0.443359375,2,0,2,0.00390625,0.02734375,1735.20703125,16384.0,6.44140625,24,407.2871848382056,260.9556668018922,55.24476252589375,84.35142958164215,593.0219731709644,0.551121979550088,0.2944492468976976,assistant_turn_limit_with_tool_call:2
74,0.419921875,6,0,6,0.01171875,0.0390625,2128.193359375,16384.0,6.7265625,24,441.6127302981913,284.24269245099276,60.23573577217758,90.45200901478529,594.2069985682085,0.5249280270968746,0.29848408590150194,assistant_turn_limit_with_tool_call:6
75,0.41015625,6,0,6,0.01171875,0.041015625,2141.3828125,16384.0,6.69140625,24,456.4050512984395,303.89515077415854,57.034928099252284,88.06892297137529,577.3654328547108,0.5177168894380335,0.29644739238670154,assistant_turn_limit_with_tool_call:6
