step,score_mean,reward_mean,step_s,gen_s,response_len_mean,response_len_max,exceed_sample_ratio,accepted_groups,rejected_groups
131,0.392578125,0.392578125,523.2837370336056,346.37229658663273,5016.193359375,16384.0,0.25,64.0,69.0
132,0.361328125,0.361328125,506.197309252806,323.6046719076112,4754.330078125,16384.0,0.24609375,64.0,42.0
133,0.412109375,0.412109375,510.3266221322119,344.50639539957047,4931.236328125,16384.0,0.220703125,64.0,50.0
134,0.318359375,0.318359375,472.1596277896315,311.10644257441163,4781.580078125,16384.0,0.27734375,64.0,42.0
135,0.31640625,0.31640625,573.4760873485357,360.37669761572033,5627.30859375,16384.0,0.28125,64.0,65.0
136,0.373046875,0.373046875,566.6900688651949,342.6649436876178,6597.330078125,16384.0,0.23828125,64.0,62.0
137,0.3515625,0.3515625,532.8358570942655,347.80934677273035,5202.65625,16384.0,0.26171875,64.0,61.0
138,0.365234375,0.365234375,629.4044611100107,442.45260783378035,5351.26953125,16384.0,0.26953125,64.0,60.0
139,0.35546875,0.35546875,577.3149109603837,379.6979316966608,5601.263671875,16384.0,0.302734375,64.0,61.0
140,0.34765625,0.34765625,585.2925881715491,364.1086910003796,5950.56640625,16384.0,0.26171875,64.0,69.0
141,0.408203125,0.408203125,541.9421222181991,356.14041223935783,5086.572265625,16384.0,0.1953125,64.0,59.0
142,0.416015625,0.416015625,609.4845828926191,404.9012810010463,6421.623046875,16384.0,0.22265625,64.0,74.0
143,0.33984375,0.33984375,575.0100704636425,387.85796261858195,5773.033203125,16384.0,0.263671875,64.0,61.0
144,0.365234375,0.365234375,608.7990402560681,414.5637077903375,5914.439453125,16384.0,0.19921875,64.0,99.0
145,0.357421875,0.357421875,509.0082248831168,332.02237554080784,5068.462890625,16384.0,0.24609375,64.0,40.0
146,0.337890625,0.337890625,538.5183215495199,355.4695623423904,5343.263671875,16384.0,0.240234375,64.0,61.0
147,0.36328125,0.36328125,599.8263141475618,398.7254013866186,5990.68359375,16384.0,0.220703125,64.0,79.0
148,0.375,0.375,580.6495084483176,391.23381280433387,5475.279296875,16384.0,0.197265625,64.0,86.0
149,0.39453125,0.39453125,532.4930011397228,350.21046757046133,4962.859375,16384.0,0.236328125,64.0,42.0
150,0.34765625,0.34765625,568.6469986755401,365.96987333521247,5504.716796875,16384.0,0.244140625,64.0,70.0
151,0.3828125,0.3828125,528.5647309580818,346.12627315334976,4496.33984375,16384.0,0.208984375,64.0,63.0
152,0.369140625,0.369140625,504.21683919616044,329.72184864152223,4913.427734375,16384.0,0.181640625,64.0,47.0
153,0.412109375,0.412109375,517.1417183596641,341.8621845850721,4897.830078125,16384.0,0.2265625,64.0,67.0
154,0.37890625,0.37890625,487.55826137401164,316.3992019183934,4191.794921875,16384.0,0.234375,64.0,48.0
155,0.380859375,0.380859375,520.122980508022,339.9816696662456,4247.17578125,16384.0,0.224609375,64.0,71.0
156,0.404296875,0.404296875,499.51692327763885,337.0579000348225,3791.21875,16384.0,0.234375,64.0,37.0
157,0.44921875,0.44921875,502.2575154369697,330.42064804024994,4347.794921875,16384.0,0.177734375,64.0,66.0
158,0.357421875,0.357421875,537.2819222342223,368.06075496878475,3733.107421875,16384.0,0.208984375,64.0,89.0
159,0.3671875,0.3671875,478.5805902481079,312.6375882383436,3605.248046875,16384.0,0.201171875,64.0,60.0
